Gene_Name,logFC,PValue
P2RY13,-4.17892187,1.23E-16
CALCA,6.12231669,1.63E-15
SNED1,3.47505491,2.97E-15
TCEAL2,4.94336823,5.16E-15
STMN2,6.84212596,7.43E-15
NKD1,2.43249969,1.79E-14
CALCA,6.64719536,2.46E-14
SLC2A1,4.11848545,3.33E-14
TRPM3,4.10366977,5.86E-14
EYA2,1.78343926,2.07E-13
FAIM2,3.61195248,2.25E-13
PRPH,5.99185991,2.27E-13
SLC2A1,3.93873081,3.92E-13
STMN2,6.78671757,5.23E-13
CALCB,5.44950244,5.57E-13
1-Mar,-2.71694158,6.36E-13
LEPR,2.93158645,7.05E-13
PAK3,4.31529879,9.23E-13
RAB31,-2.7062421,9.69E-13
KAZ,3.49763715,1.29E-12
SNCG,2.94913655,1.29E-12
SPOCK3,3.60758647,1.62E-12
CMTM3,-1.68457284,1.63E-12
BMP8A,4.16383506,1.77E-12
ELOVL7,3.76716319,1.80E-12
LOC153328,4.6351424,1.88E-12
STMN2,5.92492346,2.11E-12
TNNC1,6.39377331,2.33E-12
CARS,1.29234256,2.45E-12
STMN2,5.86654685,2.50E-12
RUNDC3B,3.22497684,2.64E-12
SLC27A6,4.17368458,2.69E-12
CMTM3,-1.50317466,2.87E-12
GAL,5.01759658,2.94E-12
SLC7A2,3.12387959,3.53E-12
DUSP26,4.10418313,4.12E-12
ST3GAL6,-2.06772602,6.49E-12
SNAP25,5.21909138,6.58E-12
GNG4,3.07210541,9.14E-12
GAPT,-3.44469175,9.50E-12
MAD2L1BP,-1.13044212,1.07E-11
CNPY3,-1.31520914,1.20E-11
CLDN19,3.70384444,1.22E-11
PLEKHF1,2.68278137,1.41E-11
RRAGC,-1.04661219,1.51E-11
CDH2,-2.7071578,1.53E-11
RAB31,-2.63665297,1.73E-11
SLC7A2,3.47373624,1.83E-11
TMOD1,3.62830732,1.88E-11
S100A1,2.32312432,2.04E-11
LOC220930,2.56847262,2.06E-11
PION,-2.42080394,2.09E-11
MKL2,2.18776683,2.12E-11
PTPRJ,-2.12494717,2.14E-11
LPCAT2,-1.45028144,2.20E-11
DNAJC12,2.31668486,2.46E-11
CDKN2A,-3.43069569,2.54E-11
RAMP1,3.79306265,2.75E-11
AKR1C1,4.55076426,2.75E-11
SNCG,2.50462246,2.77E-11
MLLT4,3.70110262,2.79E-11
EYA2,1.73715264,2.96E-11
PDGFB,-2.28568391,3.14E-11
SLC22A3,4.05075174,3.31E-11
CARS,1.35633712,3.56E-11
PPFIBP1,3.11677229,3.62E-11
PREX1,-2.08017904,3.77E-11
SPTLC3,2.91777708,4.04E-11
AGA,-1.58061598,4.09E-11
BNC2,3.37750052,4.41E-11
FBXL16,3.53526155,4.44E-11
PIRT,4.32571275,4.56E-11
CARS,1.28811239,4.72E-11
SLC27A6,3.10231235,5.48E-11
ORC5L,0.72919467,5.53E-11
ADCK4,1.27098575,5.65E-11
RUNX1T1,2.33769781,5.68E-11
TIMM16,0.87817165,5.98E-11
NEFH,4.75115813,6.00E-11
RUNDC3B,3.09116141,6.19E-11
RNF24,1.30740367,6.49E-11
FAIM2,3.25413249,6.52E-11
RAPGEF3,2.34807712,6.64E-11
REEP1,4.87231978,6.69E-11
VENTX,-2.50716651,6.72E-11
SCG2,4.61366201,6.87E-11
GPR4,2.05287106,6.93E-11
AKR1C1,4.76037566,7.07E-11
TJP2,3.10637158,7.58E-11
SPON2,-3.13038898,8.11E-11
LARP6,2.46085979,8.17E-11
MAST2,1.36920607,8.24E-11
COL5A1,-2.10346755,8.57E-11
TBCC,-1.17608862,8.62E-11
RAB31,-2.24342883,9.06E-11
COL1A2,-2.191342,9.49E-11
COL1A2,-1.92346879,9.56E-11
FGF13,4.00285239,9.59E-11
FILIP1,1.76410391,9.61E-11
LEPR,2.50017771,9.63E-11
FOLH1 /// FOLH1B,3.33223058,1.05E-10
MAPK8IP1,2.55833205,1.05E-10
KIF5C,2.17969329,1.12E-10
CHRD,1.79326866,1.16E-10
SLC7A2,3.41799921,1.21E-10
GNAI3,-1.14436282,1.25E-10
SLCO4A1,3.28884483,1.32E-10
PHIP,0.90549109,1.33E-10
RUNX1T1,2.01314715,1.41E-10
DLC1,1.79561225,1.42E-10
FAM198A,3.33397533,1.50E-10
SNED1,3.85981719,1.54E-10
FOLH1,2.89734492,1.54E-10
MARCKS,-1.95995189,1.60E-10
APOD,3.77111709,1.65E-10
SPTLC3,1.22587588,1.72E-10
DARC,3.49066589,1.74E-10
AGT,4.14234799,1.79E-10
