Gene_name,logFC,PValue
CALCA,-6.117418,5.57E-33
CALCA,-6.7823568,1.07E-31
PRPH,-6.1555858,7.40E-30
CALCB,-5.3756695,1.35E-27
NKD1,-2.4043829,4.20E-27
LEPR,-2.9464819,6.51E-25
RAB31,2.7443808,2.03E-24
SPOCK3,-3.5502665,1.15E-23
ANXA1,1.9803336,1.97E-23
PIRT,-4.261402,2.19E-23
RAB31,2.3994103,2.73E-23
GAL,-4.9614356,2.76E-23
CMTM3,1.6951653,3.53E-23
CMTM3,1.4986307,3.94E-23
ARPC1B /// LOC653888,2.2229888,4.48E-23
SLC22A3,-4.1254643,4.68E-23
MKL2,-2.2121036,5.04E-23
CDKN2A,3.9920762,5.31E-23
PAK3,-4.507887,6.47E-23
DUSP26,-4.0787299,7.19E-23
SLC2A1,-3.9281745,1.25E-22
RAB31,2.8803937,2.71E-22
ANXA1,1.9184291,3.00E-22
ARHGEF6,2.0158474,5.27E-22
SLC2A1,-3.9514887,8.80E-22
---,-3.7911531,9.00E-22
NIN,1.165074,2.12E-21
GAL,-3.2285111,2.19E-21
ANXA1,1.5089125,6.14E-21
SNED1,-3.5541603,6.69E-21
C2orf82,-3.1788193,1.06E-20
RAB31,2.4878413,2.16E-20
DLC1,-1.7341957,2.33E-20
NTRK1,-3.8020786,2.95E-20
BAX,2.8533547,5.39E-20
SLC22A3,-3.4263019,6.45E-20
KRT14,-4.9649616,9.30E-20
NGEF,-2.1727894,9.72E-20
GFRA3,3.7457624,1.02E-19
A4GALT,-2.2640505,1.07E-19
HRH1,-2.2847474,1.40E-19
P2RY13,5.0083894,1.88E-19
ANXA1,1.5853801,2.08E-19
NAT1,2.4223055,2.93E-19
MOXD1,4.5481041,2.97E-19
SNCG,-2.4070508,3.68E-19
FAIM2,-2.908609,3.80E-19
GFRA3,4.1953958,4.81E-19
GGTA1,3.5427367,4.88E-19
PDGFB,2.4232683,4.93E-19
CRISPLD2,-1.6273092,5.38E-19
MARCKS,1.9304786,5.74E-19
ARHGAP15,3.6652685,6.09E-19
GLI1,-2.5270374,8.33E-19
RASSF4,2.5442955,8.46E-19
FHDC1,3.3084301,8.72E-19
APOD,-3.9564816,1.06E-18
FOLH1,-2.6446194,1.13E-18
CHP2,-4.4697657,1.27E-18
PION,2.387222,1.45E-18
SLCO4A1,-3.3146481,1.52E-18
ADAM23,4.4240702,1.65E-18
GPR34,4.9126018,1.73E-18
TRIM14,2.9479965,1.73E-18
CARS,-1.2777179,1.79E-18
PALLD,2.0443283,1.85E-18
SFRS1,-1.0324144,2.31E-18
GLRB,2.8129514,2.56E-18
MFAP5,-5.2504181,2.62E-18
SNORA80,-1.5361356,2.74E-18
FDFT1,-1.8542127,2.92E-18
GPR34,4.984222,3.08E-18
CYP4X1,-3.3277685,3.10E-18
REEP1,-4.3034051,4.22E-18
TMTC1,-3.6905412,4.51E-18
REEP1,-4.7629467,4.67E-18
MOXD1,4.0207397,4.69E-18
PION,2.4541418,5.09E-18
TNFSF12,1.2673678,5.51E-18
LOXL3,2.3098383,6.24E-18
